"name","description","platform","gather_time","category_1","price","user_name"
"美国最新CVV信用卡-27万带名字电话！","要素：信用卡号码  有效期  CVV  名字  银行名字  卡类型    卡类型  地址  简称  城市  ZIP  国籍  邮箱  手机号
注意：原始库公开数据，会有空格和重复，验证再拍，售出不退！","长安不夜城","2025-10-12 19:08:53","卡料CVV",228,"0**8"
"尼日利亚高清护照+手持护照照片60套（ZZ证件）","尼日利亚高清护照+手持护照照片（ZZ证件）","长安不夜城","2025-10-12 19:08:26","卡料CVV",60,"z**********5"
"泰国身份证正反+手持58套（ZZ证件）","泰国身份证正反+手持58套（ZZ证件）","长安不夜城","2025-10-12 19:08:17","卡料CVV",58,"z**********5"
"英国护照四角全57套  精心整理，不过期（ZZ证件）","英国护照四角全57套  精心整理，不过期","长安不夜城","2025-10-12 19:08:07","卡料CVV",57,"z**********5"
"孟加拉国护照122个（ZZ证件）","孟加拉国护照122个","长安不夜城","2025-10-12 19:07:57","卡料CVV",120,"z**********5"
"越南身份证（单面）正面200个","越南身份证（单面）正面200个","长安不夜城","2025-10-12 19:07:47","卡料CVV",80,"z**********5"
"2025-2029年有效期CVV大库-1000万加赠60万条！","2025-2029年有效期CVV大库-1000万加赠60万条！要素：卡号|月|年|卡钥！
注意：原始库公开数据，会有空格和重复，验证再拍，售出不退！","长安不夜城","2025-10-12 19:07:38","卡料CVV",500,"0**8"
"中国护照15套","中国护照15套","长安不夜城","2025-10-12 19:07:17","卡料CVV",25,"z**********5"
"墨西哥身份证正反+视频+文本150套（ZZ证件）","墨西哥身份证正反+视频150套（ZZ证件）","长安不夜城","2025-10-12 19:07:06","卡料CVV",77,"z**********5"
"孟加拉国身份证正反+手持22套（ZZ证件）","孟加拉国身份证正反+手持22套（ZZ证件）","长安不夜城","2025-10-12 19:06:53","卡料CVV",22,"z**********5"
"美国驾驶证正反+SSN 100套","美国驾驶证正反+SSN 100套","长安不夜城","2025-10-12 19:06:40","卡料CVV",50,"z**********5"
"台湾偷情被抓做成人彘，脸被打烂，超刺激","整个过程做成人彘，脸被打烂，眼睛还不停眨眼，也是厉害","长安不夜城","2025-10-12 19:06:03","影视音像",9.9,"s*****u"
"p2p小钱庄4.6w雷暴维权p2p客户","p2p小钱庄4.6w雷暴维权p2p客户
本商品，拍后自动网盘自动发货, 商品底部链接直接下载。
(说明清楚了) 数据具有可复制性，商品有图片格式展示，不接受任何理由退款换货，能接受再拍。","长安不夜城","2025-10-12 08:14:51","数据资源",230,"A*****3"
"小鹿贷p2p雷暴出借人维权客户10万条，雷暴维权p2p客户","小鹿贷p2p雷暴出借人维权客户10万条，雷暴维权p2p客户
本商品，拍后自动网盘自动发货, 商品底部链接直接下载。
(说明清楚了) 数据具有可复制性，商品有图片格式展示，不接受任何理由退款换货，能接受再拍。","长安不夜城","2025-10-12 08:14:38","数据资源",450,"A*****3"
"p2p同牛速贷雷暴出借人维权客户10万条，雷暴维权p2p客户","p2p同牛速贷雷暴出借人维权客户10万条，雷暴维权p2p客户
本商品，拍后自动网盘自动发货, 商品底部链接直接下载。
(说明清楚了) 数据具有可复制性，商品有图片格式展示，不接受任何理由退款换货，能接受再拍。","长安不夜城","2025-10-12 08:14:30","数据资源",450,"A*****3"
"雷暴维权p2p客户爱进钱10万条，p2p雷暴出借人维权客户","雷暴维权p2p客户爱进钱10万条，p2p雷暴出借人维权客户
本商品，拍后自动网盘自动发货, 商品底部链接直接下载。
(说明清楚了) 数据具有可复制性，商品有图片格式展示，不接受任何理由退款换货，能接受再拍。","长安不夜城","2025-10-12 08:14:20","数据资源",450,"A*****3"
"广东深圳南山区各银行贵宾卡3.7万，银行大额存款客户","广东深圳南山区各银行贵宾卡3.7万，银行大额存款客户
本商品，拍后自动网盘自动发货, 商品底部链接直接下载。
(说明清楚了) 数据具有可复制性，商品有图片格式展示，不接受任何理由退款换货，能接受再拍。","长安不夜城","2025-10-12 08:14:14","数据资源",230,"A*****3"
"银行储蓄存款客户2.8万条，广东深圳福田区各银行贵宾卡","银行储蓄存款客户2.8万条，广东深圳福田区各银行贵宾卡
本商品，拍后自动网盘自动发货, 商品底部链接直接下载。
(说明清楚了) 数据具有可复制性，商品有图片格式展示，不接受任何理由退款换货，能接受再拍。","长安不夜城","2025-10-12 08:14:06","数据资源",230,"A*****3"
